DOM Element Count,Legislation Section URL,volume,Chapter,Part,Divison,Subdivision
91,https://www.legislation.gov.au/C2004A04997/2024-07-01/2024-07-01/text/1/epub/OEBPS/document_1/document_1.html#_Toc172806592,Chapter 12 Oil seeds and oleaginous fruits miscellaneous grains seeds and fruit industrial or medicinal plants straw and fodder,Part 3 Miscellaneous,,Subheading Note
92,https://www.legislation.gov.au/C2004A04997/2024-07-01/2024-07-01/text/1/epub/OEBPS/document_1/document_1.html#_Toc172806593,Chapter 13 Lac gums resins and other vegetable saps and extracts,Part 3 Miscellaneous,,
93,https://www.legislation.gov.au/C2004A04997/2024-07-01/2024-07-01/text/1/epub/OEBPS/document_1/document_1.html#_Toc172806594,Chapter 13 Lac gums resins and other vegetable saps and extracts,Part 3 Miscellaneous,,Note
94,https://www.legislation.gov.au/C2004A04997/2024-07-01/2024-07-01/text/1/epub/OEBPS/document_1/document_1.html#_Toc172806595,Chapter 14 Vegetable plaiting materials vegetable products not elsewhere specified or included,Part 3 Miscellaneous,,
95,https://www.legislation.gov.au/C2004A04997/2024-07-01/2024-07-01/text/1/epub/OEBPS/document_1/document_1.html#_Toc172806596,Chapter 14 Vegetable plaiting materials vegetable products not elsewhere specified or included,Part 3 Miscellaneous,,Notes
96,https://www.legislation.gov.au/C2004A04997/2024-07-01/2024-07-01/text/1/epub/OEBPS/document_1/document_1.html#_Toc172806597,Chapter 14 Vegetable plaiting materials vegetable products not elsewhere specified or included,Part 3 Miscellaneous,,Section IIIAnimal vegetable or microbial fats and oils and their cleavage products prepared edible fats animal or vegetable waxes
97,https://www.legislation.gov.au/C2004A04997/2024-07-01/2024-07-01/text/1/epub/OEBPS/document_1/document_1.html#_Toc172806598,Chapter 15 Animal vegetable or microbial fats and oils and their cleavage products prepared edible fats animal or vegetable waxes,Part 3 Miscellaneous,,
98,https://www.legislation.gov.au/C2004A04997/2024-07-01/2024-07-01/text/1/epub/OEBPS/document_1/document_1.html#_Toc172806599,Chapter 15 Animal vegetable or microbial fats and oils and their cleavage products prepared edible fats animal or vegetable waxes,Part 3 Miscellaneous,,Notes
99,https://www.legislation.gov.au/C2004A04997/2024-07-01/2024-07-01/text/1/epub/OEBPS/document_1/document_1.html#_Toc172806600,Chapter 15 Animal vegetable or microbial fats and oils and their cleavage products prepared edible fats animal or vegetable waxes,Part 3 Miscellaneous,,Subheading Notes
100,https://www.legislation.gov.au/C2004A04997/2024-07-01/2024-07-01/text/1/epub/OEBPS/document_1/document_1.html#_Toc172806601,Chapter 15 Animal vegetable or microbial fats and oils and their cleavage products prepared edible fats animal or vegetable waxes,Part 3 Miscellaneous,,Additional Note
